axis,axis_label,distance_px,region,S,structure_corr,S_measurable,structure_corr_measurable,noise_level,sample_count_structure,noise_source,noise_corr,N,Q,sample_count_noise
x,x,1,foreground,0.9413545561369225,0.9413545561369225,0.9310570985532232,0.9310570985532232,F1,500000,proxy,-0.058716058606557195,0.9412839413934428,0.8860819268492374,500000
x,x,1,background,0.9723210364306331,0.9723210364306331,0.9425070823819541,0.9425070823819541,F1,500000,gt,-0.0007430270258281993,0.9992569729741718,0.9715985756227838,500000
x,x,1,background,0.9723210364306331,0.9723210364306331,0.9425070823819541,0.9425070823819541,F1,500000,proxy,-0.09814116101751352,0.9018588389824864,0.8768963210335786,500000
x,x,2,all,0.8994815877422507,0.8994815877422507,0.873097474309899,0.873097474309899,F1,500000,gt,0.0006270299013268067,0.9993729700986732,0.8989175858910434,500000
x,x,2,all,0.8994815877422507,0.8994815877422507,0.873097474309899,0.873097474309899,F1,500000,proxy,-0.005330061935204594,0.9946699380647954,0.8946872951700083,500000
x,x,2,foreground,0.8129759931816717,0.8129759931816717,0.7908821723386927,0.7908821723386927,F1,500000,gt,-0.0008903913624712132,0.9991096086375287,0.8122521263794462,500000
x,x,2,foreground,0.8129759931816717,0.8129759931816717,0.7908821723386927,0.7908821723386927,F1,500000,proxy,-0.008818063834047984,0.991181936165952,0.8058071189782471,500000
x,x,2,background,0.9126155619368631,0.9126155619368631,0.8420998195940791,0.8420998195940791,F1,500000,gt,-0.00020706884574233695,0.9997929311542577,0.9124265876858464,500000
x,x,2,background,0.9126155619368631,0.9126155619368631,0.8420998195940791,0.8420998195940791,F1,500000,proxy,-0.000155577779155257,0.9998444222208448,0.9124735792345144,500000
x,x,3,all,0.8336780985910778,0.8336780985910778,0.7935287862683572,0.7935287862683572,F1,500000,gt,0.0016136468977334191,0.9983863531022665,0.8323328365135779,500000
x,x,3,all,0.8336780985910778,0.8336780985910778,0.7935287862683572,0.7935287862683572,F1,500000,proxy,-0.001747651583170128,0.9982523484168299,0.8322211197422208,500000
x,x,3,foreground,0.6598652514940274,0.6598652514940274,0.6571505169380985,0.6571505169380985,F1,500000,gt,-0.0015813696583963283,0.9984186303416037,0.6588217606066847,500000
x,x,3,foreground,0.6598652514940274,0.6598652514940274,0.6571505169380985,0.6571505169380985,F1,500000,proxy,-0.005650153281154438,0.9943498467188455,0.6561369116781786,500000
x,x,3,background,0.8480439401870079,0.8480439401870079,0.7660038277855981,0.7660038277855981,F1,500000,gt,0.00036717360466334076,0.9996328263953367,0.8477325608365766,500000
x,x,3,background,0.8480439401870079,0.8480439401870079,0.7660038277855981,0.7660038277855981,F1,500000,proxy,0.003292546798186126,0.9967074532018139,0.845251715827024,500000
x,x,4,all,0.7342246226276591,0.7342246226276591,0.6974429094578236,0.6974429094578236,F1,500000,gt,0.0018264704553968205,0.9981735295446031,0.7328835830468048,500000
x,x,4,all,0.7342246226276591,0.7342246226276591,0.6974429094578236,0.6974429094578236,F1,500000,proxy,-0.0018928052597404676,0.9981071947402596,0.7328348784001185,500000
x,x,4,foreground,0.5543140420289794,0.5543140420289794,0.5450767710251923,0.5450767710251923,F1,500000,gt,0.0015704239861081804,0.9984295760138918,0.5534435339615404,500000
x,x,4,foreground,0.5543140420289794,0.5543140420289794,0.5450767710251923,0.5450767710251923,F1,500000,proxy,-7.071403702002144e-05,0.99992928596298,0.5542748442452906,500000
x,x,4,background,0.7953556062930782,0.7953556062930782,0.715738819811042,0.715738819811042,F1,500000,gt,0.0017069930895947567,0.9982930069104052,0.7939979397693655,500000
x,x,4,background,0.7953556062930782,0.7953556062930782,0.715738819811042,0.715738819811042,F1,500000,proxy,0.0007229683611095522,0.9992770316388905,0.7947805893538973,500000
x,x,5,all,0.6811976986033261,0.6811976986033261,0.6571463420551574,0.6571463420551574,F1,500000,gt,0.0002324407961184688,0.9997675592038815,0.6810393604679487,500000
x,x,5,all,0.6811976986033261,0.6811976986033261,0.6571463420551574,0.6571463420551574,F1,500000,proxy,-0.0005078005204343981,0.9994921994795656,0.6808517860574567,500000
x,x,5,foreground,0.46393123085295135,0.46393123085295135,0.45159209979802745,0.45159209979802745,F1,500000,gt,0.00044897858893133095,0.9995510214110687,0.4637229356635618,500000
x,x,5,foreground,0.46393123085295135,0.46393123085295135,0.45159209979802745,0.45159209979802745,F1,500000,proxy,-0.00012020652727253501,0.9998797934727275,0.46387546329079726,500000
x,x,5,background,0.7525777325063632,0.7525777325063632,0.677964793022107,0.677964793022107,F1,500000,gt,-0.0009421649110197365,0.9990578350889803,0.7518686801739809,500000
x,x,5,background,0.7525777325063632,0.7525777325063632,0.677964793022107,0.677964793022107,F1,500000,proxy,0.003934709297431531,0.9960652907025684,0.7496165579052304,500000
x,x,6,all,0.6057107580145841,0.6057107580145841,0.590224642391784,0.590224642391784,F1,500000,gt,0.0004833309015473958,0.9995166690984526,0.6054179992878359,500000
x,x,6,all,0.6057107580145841,0.6057107580145841,0.590224642391784,0.590224642391784,F1,500000,proxy,0.0018320392745848474,0.9981679607254151,0.6046010721168628,500000
x,x,6,foreground,0.3853307006788719,0.3853307006788719,0.3709033278475264,0.3709033278475264,F1,500000,gt,0.0007336824219673016,0.9992663175780327,0.3850479903171395,500000
x,x,6,foreground,0.3853307006788719,0.3853307006788719,0.3709033278475264,0.3709033278475264,F1,500000,proxy,-0.0009039144618835743,0.9990960855381165,0.38498239468592055,500000
x,x,6,background,0.7230234530540303,0.7230234530540303,0.6493106785734891,0.6493106785734891,F1,500000,gt,0.00021340686083509355,0.999786593139165,0.7228691548886039,500000
x,x,6,background,0.7230234530540303,0.7230234530540303,0.6493106785734891,0.6493106785734891,F1,500000,proxy,-0.00044747818920024387,0.9995525218107998,0.7226999158285083,500000
x,x,7,all,0.5719688795914298,0.5719688795914298,0.570169348219143,0.570169348219143,F1,500000,gt,0.0011828608615046907,0.9988171391384953,0.5712923199897625,500000
x,x,7,all,0.5719688795914298,0.5719688795914298,0.570169348219143,0.570169348219143,F1,500000,proxy,0.0008876505665676352,0.9991123494334324,0.5714611710914015,500000
x,x,7,foreground,0.3174460291192765,0.3174460291192765,0.2964241738062139,0.2964241738062139,F1,500000,gt,-0.0013818777693567017,0.9986181222306433,0.317007357508666,500000
x,x,7,foreground,0.3174460291192765,0.3174460291192765,0.2964241738062139,0.2964241738062139,F1,500000,proxy,0.0016327121899213602,0.9983672878100787,0.31692773111789135,500000
x,x,7,background,0.6989671890546936,0.6989671890546936,0.626353065679069,0.626353065679069,F1,500000,gt,-0.00035265671970961457,0.9996473432802904,0.6987206935786169,500000
x,x,7,background,0.6989671890546936,0.6989671890546936,0.626353065679069,0.626353065679069,F1,500000,proxy,-0.0014888958135935275,0.9985111041864064,0.6979264997330707,500000
x,x,8,all,0.5431277170690442,0.5431277170690442,0.5302259137760946,0.5302259137760946,F1,500000,gt,0.0007389552434013767,0.9992610447565986,0.5427263699946794,500000
x,x,8,all,0.5431277170690442,0.5431277170690442,0.5302259137760946,0.5302259137760946,F1,500000,proxy,-0.00048241882071875557,0.9995175811792812,0.542865702036276,500000
